ID NODO | ID WAY | Nombre | latitud | longitud 
1091465848 | 39239250 | Lavalle | -32.8887666 | -68.83277029999999
1091465843 | 39239250 | Lavalle | -32.8888202 | -68.831472
1732499003 | 39239250 | Lavalle | -32.8888694 | -68.8302804
458896744 | 39239250 | Lavalle | -32.8888796 | -68.8300313
1086742616 | 39239268 | Rivadavia | -32.889868 | -68.8501272
1132417088 | 39239268 | Rivadavia | -32.8898747 | -68.8500995
2606023813 | 39239268 | Rivadavia | -32.8898871 | -68.8500316
437558119 | 39239268 | Rivadavia | -32.8899048 | -68.8499415
437558472 | 39969403 | Juan de Dios Videla | -32.8803494 | -68.8510574
480890164 | 39969403 | Juan de Dios Videla | -32.8802004 | -68.851773
480890133 | 39969403 | Juan de Dios Videla | -32.8798681 | -68.853443
480890106 | 39969403 | Juan de Dios Videla | -32.8796123 | -68.8550175
1089201095 | 39969403 | Juan de Dios Videla | -32.879392 | -68.8561619
480124234 | 39969403 | Juan de Dios Videla | -32.8792114 | -68.8570659
480124230 | 39969403 | Juan de Dios Videla | -32.8789733 | -68.8584082
1089096660 | 39969403 | Juan de Dios Videla | -32.8787434 | -68.859641
623949459 | 39969404 | Aristóbulo del Valle | -32.8776734 | -68.8594316
480124239 | 39969404 | Aristóbulo del Valle | -32.8779154 | -68.8581454
480890177 | 39969404 | Aristóbulo del Valle | -32.8781908 | -68.8566415
480890097 | 39969404 | Aristóbulo del Valle | -32.8785487 | -68.8547382
2443028688 | 39969404 | Aristóbulo del Valle | -32.8788129 | -68.8532823
480890108 | 39969404 | Aristóbulo del Valle | -32.8788306 | -68.8531736
480890139 | 39969404 | Aristóbulo del Valle | -32.8791617 | -68.8514912
2180037592 | 39969404 | Aristóbulo del Valle | -32.8792377 | -68.8510809
480124237 | 39969404 | Aristóbulo del Valle | -32.8793303 | -68.8505804
437558474 | 39969405 | Suipacha | -32.8783162 | -68.850158
2180037590 | 39969405 | Suipacha | -32.878191 | -68.8508091
480890163 | 39969405 | Suipacha | -32.8781152 | -68.851203
480890128 | 39969405 | Suipacha | -32.8777926 | -68.8529009
480890105 | 39969405 | Suipacha | -32.8774942 | -68.8544575
287060778 | 39969405 | Suipacha | -32.8771298 | -68.856399
1086147416 | 39969405 | Suipacha | -32.8768554 | -68.8578534
480124243 | 39969405 | Suipacha | -32.8765932 | -68.8592615
480124245 | 39969406 | Joaquín V. González | -32.881144 | -68.8601037
480890172 | 39969406 | Joaquín V. González | -32.8815258 | -68.8580803
1089201203 | 39969406 | Joaquín V. González | -32.8817826 | -68.8567852
480890099 | 39969406 | Joaquín V. González | -32.8820025 | -68.8556422
480890109 | 39969406 | Joaquín V. González | -32.8822989 | -68.854102
480890141 | 39969406 | Joaquín V. González | -32.8826243 | -68.8524112
437558471 | 39969406 | Joaquín V. González | -32.8827932 | -68.8515333
